,class_id,slug,excerpt
107,78,sparkforappraisers,"In addition, during the Account Creation process you can opt out of any promotional or ""tutorial"" emails and only receive emails critical to the application itself.
In addition, you can unsubscribe to any list at any time."
108,82,sparkforappraisers,"In addition, based on past performance and guarantees from our data providers, we guarantee an accessibility time of 99% or more"
109,83,apple,"Apple and our partners and licensees may collect, use, and share precise location data, including the real-time geographic location of your Apple computer or device.
Where available, location-based services may use GPS, Bluetooth, and your IP Address, along with crowd-sourced Wi-Fi hotspot and cell tower locations, and other technologies to determine your devices’ approximate location.
Unless you provide consent, this location data is collected anonymously in a form that does not personally identify you and is used by Apple and our partners and licensees to provide and improve location-based products and services.
For example, your device may share its geographic location with application providers when you opt in to their location services."
110,16,apple,"Apple reserves the right, at its sole discretion, to change, modify, add or remove portions of these Terms of Use, at any time.
It is your responsibility to check these Terms of Use periodically for changes.
Your continued use of the Site following the posting of changes will mean that you accept and agree to the changes."
111,45,apple,"Apple may change, add or remove any part of these Terms at any time.
If it does so, Apple will post such changes on www.apple.com/internetservices/terms.
IF ANY FUTURE CHANGES ARE UNACCEPTABLE TO YOU, YOU SHOULD DISCONTINUE USING THE SERVICES.
YOUR CONTINUED USE OF THE SERVICES NOW, OR FOLLOWING THE POSTING OF NOTICE OF ANY SUCH CHANGES, WILL INDICATE YOUR ACCEPTANCE OF THESE TERMS, AND OF ANY SUCH CHANGES."
112,42,apple,"For other personal information we hold, we will provide you with access (including a copy) for any purpose including to request that we correct the data if it is inaccurate"
113,42,apple,or delete the data if Apple is not required to retain it by law or for legitimate business purposes.
114,65,apple,We will retain your personal information for the period necessary to fulfill the purposes outlined in this Privacy Policy and our service specific privacy summaries.When assessing these periods we carefully examine our need to collect personal information at all and if we establish a relevant need we only retain it for the shortest possible period to realize the purpose of collection unless a longer retention period is required by law.
115,32,apple,"The Apple Privacy Policy was updated on May 22, 2018."
116,84,apple,"You agree to indemnify and hold Apple, its officers, directors, shareholders, predecessors, successors in interest, employees, agents, subsidiaries and affiliates, harmless from any demands, loss, liability, claims or expenses (including attorneys’ fees), made against Apple by any third party due to or arising out of or in connection with your use of the Site."
117,85,apple,"Apple reserves the right to do any of the following, at any time, without notice: (1) to modify, suspend or terminate operation of or access to the Site, or any portion of the Site, for any reason.
(2) to modify or change the Site, or any portion of the Site, and any applicable policies or terms.
and (3) to interrupt the operation of the Site, or any portion of the Site, as necessary to perform routine or non-routine maintenance, error correction, or other changes."
118,86,apple,"Apple reserves the right at any time to modify this Agreement and to impose new or additional terms or conditions on your use of the Service, provided that Apple will give you 30 days’ advance notice of any material adverse change to the Service or applicable terms of service, unless it would not be reasonable to do so due to circumstances arising from legal, regulatory, or governmental action."
119,87,apple,"If you do not wish to receive ads targeted to your interests from Apple's advertising platform, you can choose to enable Limit Ad Tracking, which will opt your Apple ID out of receiving such ads regardless of what device you are using.
If you enable Limit AdTracking on your mobile device, third-party apps cannot use the Advertising Identifier, a non-personal device identifier, to serve you targeted ads."
120,88,apple,"You agree that Apple may, in its sole discretion and without prior notice, terminate your access to the Site and/or block your future access to the Site if we determine that you have violated these Terms of Use or other agreements or guidelines which may be associated with your use of the Site."
121,89,apple,"If we learn that we have collected the personal information of a child under 13, or equivalent minimum age depending on jurisdiction, outside the above circumstances we will take steps to delete the information as soon as possible."
122,90,apple,You may delete your Apple ID and/or stop using the Service at any time.
123,36,apple,Apple will be permitted to terminate only after giving you 30 days’ notice and only if you have not cured the breach within such 30-day period.
124,91,apple,"Except as required by applicable non-U.S.
local or national law, the laws of the State of California, excluding its conflicts of law rules, govern these Terms and your use of the Services."
125,92,apple,"You agree to the personal jurisdiction by and venue in the state and federal courts in Santa Clara County, California, and waive any objection to such jurisdiction or venue."
126,93,arc-games,"ANY APPLICABLE ZEN, FEES AND OTHER CHARGES ARE PAYABLE IN ADVANCE AND NON REFUNDABLE."
127,32,internetarchive,31 Dec 2014
128,40,ask,"you grant us a perpetual (for questions you ask only), non-exclusive, royalty-free and fully-paid-up, and fully sub-licensable right to access, view, use, reproduce, modify, adapt, publish, translate, create derivative works from, distribute, copy, and display such material throughout the world in any form, media, or technology now known or hereafter developed.
You also permit any other user to view, copy, access, store, or reproduce such material for that user’s personal use."
129,83,ask,"We may collect general information (e.g.
IP address, zip code) about your location, and may use that information to customize the Services with location-based information, advertising, and features that need to know your location to work properly.
By accessing and using the Services, you consent to this collection and processing of location information.
If you choose to turn off location services on your device, some features may not be available to you."
130,94,ask,"We keep your information and store it safely as long as you are using the Services.
After you close your account we still keep some or all of your information for up to 9 months.
It is important that we retain your data for this short period after cancellation to ensure that we can answer any payment or other account related queries, or provide information to third parties in line with our disclosure provisions outlined in this policy, e.g., assisting police investigations."
131,29,ask,"we do not currently recognize or respond to browser-initiated Do Not Track signals, as the internet industry is still working on Do Not Track standards, implementations, and solutions."
132,38,ask,
133,95,ask,We can also block or respond to content that we determine is otherwise objectionable or as set forth in the TOU.
134,93,ask,"ALL SALES ARE FINAL.
YOU ACKNOWLEDGE THAT NEITHER WE NOR ANY APP STORE PROVIDER IS REQUIRED TO PROVIDE A REFUND FOR ANY REASON, AND THAT YOU WILL NOT RECEIVE MONEY OR OTHER COMPENSATION FOR UNUSED IN-APP PURCHASES WHEN AN ACCOUNT IS CLOSED, WHETHER SUCH CLOSURE WAS VOLUNTARY OR INVOLUNTARY UNLESS OTHERWISE REQUIRED BY APPLICABLE LAW."
135,96,ask,"Information provided by our users through the Services may contain links to third-party websites, mobile apps or other services that are not owned or controlled by us.
We have no control over and assume no responsibility for, the content, privacy policies, or practices of any third-party websites.
In addition, we will not and cannot censor or edit the content of any third-party site.
By using the Services, you expressly acknowledge and agree that the ASKfm Parties shall not be responsible for any damages, claims or other liability arising from or related to your use of any third-party website."
136,31,ask,"As we continue to develop our business, we may sell, buy, merge or partner with other companies or businesses, or sell some or all of our assets.
In such transactions, user information may be among the transferred assets"
137,97,ask,"In general, please be careful and responsible whenever you are online.
Should you choose to voluntarily disclose information through the Services, such as by submitting a question to another user or by answering a question to be posted on your profile, that information can be viewed publicly and people can copy content that is posted on the Internet.
It could also be collected and used by third parties without our or your knowledge, which may result in unsolicited messages from other individuals or third parties.
You should not share personal information that might allow others to contact or locate you or other users, and you should think before you post."
138,98,ask,"Our partners also may collect information directly from your device, such as your IP address, device ID (which in some countries is considered as personal data) or similar information regarding the location of your mobile device.
may combine our personal and non-personal information about you with information from other sources.
and may place or recognize a unique cookie on your browser.
If we are sharing ANY data that is considered to be personal data by the appropriate laws of the country in which you live, we will always ask your consent before we use your data in this way (and you can ask us to stop at any time)."
139,99,ask,"To find out more about their cookies and the privacy choices they offer, please visit the following links: Google Analytics, Quantcast, and ScoreCard."
140,100,ask,"By giving us any personal information or by using the applications available on the Services, you agree that your personal information may be transferred to and stored and processed in our and our third-party vendors’ facilities in various countries around the globe, including the United States.
These countries may have privacy laws that differ from the laws in your country or the laws of Ireland."
141,6,ask,YOU ACKNOWLEDGE AND AGREE THAT THE SERVICES ARE PROVIDED “AS IS” AND “AS AVAILABLE” AND THAT YOUR USE OF THE SERVICES SHALL BE AT YOUR SOLE RISK.
142,15,ask,"Sorry, but you can’t use ASKfm if you are under 13 years old.
If you are under 13 years of age, you are not permitted to access or use the Services.
If we become aware that you are using the Services even though you are under 13 and not permitted to do so, we will deactivate your account and attempt to block you from accessing the Services."
143,90,ask,"Should you choose to leave the Services, rather than deactivate your account, you may do so by selecting the “I want to leave ASKfm” tab on the Contact Us page.
Once received, we will process your request to leave as soon as practicable."
144,101,ask,"Warning: After you have deactivated your account or left the Services, questions may still appear on the Services, but will be anonymized and no longer associated with you directly (in other words, a question you asked on your friend’s profile will still be visible, but will not include your username)."
145,43,ask,"You must keep your password confidential and, other than sharing it with your parent or guardian if you are a minor, you should not tell anyone your password or let anyone else access your account.
(Parents and guardians might also find some useful information here).
Sharing your password might lead to all of your posts, messages and personal information being leaked or someone impersonating or pretending to be you.
If you don’t keep your password confidential or give it to anyone other than your parent or guardian, we are not responsible for anyone accessing or using your account, including reading or sending messages from it.
If you think that someone else might be using your account, you must let us know immediately using the contact information below."
146,102,ask,"TO THE FULLEST EXTENT PERMITTED BY APPLICABLE LAW, THE ASKFM PARTIES MAKE NO WARRANTIES OR REPRESENTATIONS THAT WE HAVE THE NECESSARY SKILL TO RENDER THE SERVICES OR THAT THE SERVICES HAVE BEEN AND WILL BE PROVIDED WITH DUE SKILL, CARE AND DILIGENCE OR ABOUT THE ACCURACY OR COMPLETENESS OF THE SERVICES’ CONTENT"
147,59,ask,"In order to respond to the claims of violation of the rights of third parties and/or to protect the rights, property, and safety of ASKfm, our employees, Registered and Guest Users, or the public.
This may involve the sharing of your information with law enforcement, government agencies, courts, and/or other organizations"
148,103,ask,"We may assist the police or other law enforcement agencies with their requests, or produce information in response to legal process where we, in good faith, believe that such disclosure is required by law, or to protect our rights and property, or the safety of individual users or the public, or where otherwise permitted by this Privacy Policy."
149,29,at-t,
150,29,attainbyaetna,"Do Not TrackCurrently, we do not respond to “Do Not Track” signals from browsers"
151,38,avaaz,Your IP Address.
152,104,avaaz,"This website, Avaaz.org, along with all translated versions, is operated by Avaaz, a nonprofit organization incorporated as Avaaz Foundation in the State of Delaware, United States, and with a registered branch office in the UK (No.
FC031321)."
153,32,amazonaws,"Last Updated: February 4, 2019"
154,32,bbc,BBC Privacy and Cookies Policy  Page updated: August 2019
155,106,bbc,"g.
Moral rights"
